date,NEB_mean,NEB_highest,NEB_lowest,RUKZ,AtlN,ONI,random_ts,wavelet_NEB_mean,wavelet_NEB_highest,wavelet_NEB_lowest,wavelet_RUKZ,wavelet_AtlN,wavelet_ONI
2001-07-01,19.101264403469266,4.159999847412109,41.709999084472656,60.62123639847313,26.510205390725712,-0.08,-1.4093810534532536,-0.0780605758786682,-0.0877248963207109,-0.1747167756696232,0.2014479365158483,0.0925875230160003,-0.0901991825892894
2001-08-01,4.711149442512756,1.340000033378601,25.65999984741211,67.23632520536347,27.017437223014852,-0.13,-6.633697912556377,-0.0773573992558931,-0.0904909009417295,-0.2123687153495622,0.2190276787176587,0.1096075271137103,-0.0625035286662349
2001-09-01,2.8420689861964563,0.0,2.289999961853028,33.61449716820371,27.567198991757586,-0.19,9.322879651241111,-0.0726125233130115,-0.0910391285653747,-0.2382931543264483,0.2314480108795678,0.1215719234031969,-0.0278488882636532
2001-10-01,9.930689682177771,0.0,27.799999237060547,63.779335635586,27.523349617378646,-0.29,4.140283806433626,-0.0651432416766611,-0.0900269056350951,-0.2542003092732876,0.2384092263708916,0.1276621267565254,0.0130778380914436
2001-11-01,5.839540211462427,0.0,0.0,34.91700784765314,27.189244777088902,-0.35,6.7805268072749305,-0.0563707227442322,-0.0881319896942945,-0.2622500442363783,0.2398211106854117,0.1273684399818795,0.0591894620259083
2001-12-01,42.36850586670569,24.3799991607666,19.57999992370605,10.385346528261106,26.373398321010306,-0.31,5.87318292693571,-0.0477060672481074,-0.0860017113629598,-0.2648424682889448,0.2357857000564851,0.1205292002903562,0.1090335394541192
2002-01-01,275.1048270039175,362.55999755859375,101.31999969482422,22.877101851217045,25.62522506888873,-0.15,0.3480123263079893,-0.0404380948932478,-0.0842042163533512,-0.2643996691117401,0.2265713939424659,0.1073467796497476,0.1608480829497479
2002-02-01,76.40862055208491,24.51000022888184,68.18000030517578,16.49135721033313,24.886781951797573,0.03,-8.868074616083497,-0.0356312363283322,-0.0831851620800667,-0.2631556659752893,0.2125809651717709,0.0883792114492562,0.2126370083408206
2002-03-01,190.74459689787065,239.4900054931641,119.88999938964844,31.23652931590664,24.72200851502188,0.09,6.509535585556812,-0.0340412225996506,-0.0832329380328671,-0.2629707983869096,0.1943163156894368,0.0645080335453629,0.262263007715009
2002-04-01,164.53793097638535,162.8300018310547,11.380000114440918,32.211201127112666,24.626181612967592,0.2,-2.625397494596573,-0.0360549904687696,-0.0844549752510438,-0.2651846287789021,0.1723429099375638,0.0368847054010027,0.3075541523914655
